target_transform,label_fraction,train_rows_used,val_rows,test_rows,model_family,model_name,checkpoint_path,num_features,missing_keys_count,unexpected_keys_count,val_mae,val_rmse,val_r2,val_spearman,val_median_ae,test_mae,test_rmse,test_r2,test_spearman,test_median_ae
raw_target,0.3,29516,133470,152488,baseline,xgboost,,321,,,962.823486328125,2211.66552734375,0.3074868321418762,0.6199851583268721,407.558837890625,1157.174072265625,2619.282470703125,0.35479527711868286,0.6696591397156735,504.60601806640625
raw_target,0.3,29516,133470,152488,baseline,lightgbm,,321,,,959.0240306300049,2156.9333675998473,0.34133790920070295,0.6165514880738,407.8472921168132,1151.1270246485087,2601.9210897813655,0.3633201781558041,0.668331267708616,508.8042074883698
raw_target,0.3,29516,133470,152488,baseline,catboost,,321,,,985.8124608635466,2211.413221454068,0.3076447113104058,0.605139048017418,429.34532095441114,1191.3895999998913,2649.499520867515,0.339822780602241,0.6538245753944302,542.2016482761455
raw_target,0.15,14758,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,1123.3900146484375,2455.779296875,0.14617693424224854,0.5809879667882609,509.01641845703125,1424.5947265625,3078.807373046875,0.10854822397232056,0.590805465674065,722.2872314453125
raw_target,0.15,14758,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,1095.00634765625,2469.998291015625,0.13626104593276978,0.5659555724771281,470.67364501953125,1402.6795654296875,3090.145263671875,0.10197043418884277,0.5851868849123961,707.387451171875
raw_target,0.15,14758,133470,152488,baseline,mlp_regressor,,321,,,1080.35791015625,2454.861572265625,0.14681506156921387,0.5479526403535411,384.0750427246094,1335.6572265625,2983.64501953125,0.1628040075302124,0.5885977204581997,479.8852844238281
raw_target,0.15,14758,133470,152488,baseline,xgboost,,321,,,1015.8531494140625,2275.3193359375,0.2670508027076721,0.5993913064840009,442.4838562011719,1229.40185546875,2711.8955078125,0.3083621859550476,0.6472100621354678,563.2344970703125
raw_target,0.15,14758,133470,152488,baseline,lightgbm,,321,,,1009.5406928469797,2228.3127947036323,0.2970223488108924,0.5990308204628075,437.0808719800152,1224.5105485090533,2714.9123238642555,0.3068224936923496,0.6454246009541349,553.8257383792702
raw_target,0.15,14758,133470,152488,baseline,catboost,,321,,,1026.2887672194984,2272.4885286776057,0.2688733581534398,0.5914137322540578,454.75057638855696,1252.0512308571579,2742.2805754411916,0.2927766056549992,0.6384505244868754,582.4595791811468
raw_target,0.1,9839,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,1108.004150390625,2622.664794921875,0.026188790798187256,0.5626003104013476,480.4754333496094,1417.8372802734375,3292.578369140625,-0.01954197883605957,0.5509911645544487,573.5936889648438
raw_target,0.1,9839,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,1090.490234375,2600.508056640625,0.04257321357727051,0.5414127442079941,443.88800048828125,1393.8197021484375,3261.03857421875,-0.000102996826171875,0.5485867945913141,541.4423828125
raw_target,0.1,9839,133470,152488,baseline,mlp_regressor,,321,,,1118.3380126953125,2494.76416015625,0.11885344982147217,0.5020709210803308,386.55718994140625,1393.261474609375,3034.497314453125,0.1340230107307434,0.5455552360382806,524.192626953125
raw_target,0.1,9839,133470,152488,baseline,xgboost,,321,,,1034.220703125,2330.638427734375,0.23097753524780273,0.589370270021832,456.2470703125,1269.397705078125,2787.601806640625,0.26920706033706665,0.634785013074063,589.866455078125
raw_target,0.1,9839,133470,152488,baseline,lightgbm,,321,,,1025.8248284787821,2275.4589411859047,0.26696077020342834,0.5828382410544288,449.9834911551169,1252.1465228087861,2773.386681919236,0.27664132378813877,0.6268902631998291,583.074318159289
raw_target,0.1,9839,133470,152488,baseline,catboost,,321,,,1040.0099941883905,2316.8592821368043,0.24004386637042752,0.5798308204553559,459.2450446366409,1265.0735570513382,2769.4841911548197,0.27867559797736774,0.6295046939003605,587.2993860309068
raw_target,0.05,4919,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,1146.519287109375,2807.43359375,-0.11585605144500732,-0.2824721797494224,333.80938720703125,1509.547607421875,3514.19775390625,-0.16140902042388916,-0.2760661592732203,349.69097900390625
raw_target,0.05,4919,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,1146.49560546875,2807.256591796875,-0.1157153844833374,-0.13352940701646118,334.1585693359375,1509.4400634765625,3513.99267578125,-0.16127359867095947,-0.08977786896710649,349.2587890625
raw_target,0.05,4919,133470,152488,baseline,mlp_regressor,,321,,,1228.3262939453125,2850.303955078125,-0.15019524097442627,0.5182351140858801,376.641357421875,1551.3924560546875,3380.18603515625,-0.07451879978179932,0.5466568729682247,485.29461669921875
raw_target,0.05,4919,133470,152488,baseline,xgboost,,321,,,1113.3280029296875,2428.22998046875,0.16522616147994995,0.5683068899854133,501.7354736328125,1384.711181640625,2889.0029296875,0.21507388353347778,0.6058827749468324,667.685546875
raw_target,0.05,4919,133470,152488,baseline,lightgbm,,321,,,1087.246203259361,2320.1709524245002,0.23786978282242044,0.5765528073598346,472.2684234746128,1356.6121187853187,2844.5403146567705,0.23904840792564885,0.6077164990885489,641.4014454608277
raw_target,0.05,4919,133470,152488,baseline,catboost,,321,,,1104.6016837479576,2363.7971742851637,0.20893962884242434,0.5892944089578827,515.1130642076251,1378.0218317946326,2900.182340326771,0.20898730972240154,0.6220868753934784,685.0242285962313
log1p_target,1.0,98388,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,973.1414184570312,2443.615478515625,0.15461403131484985,0.6461710192805867,275.39520263671875,1244.485595703125,3020.089111328125,0.1422269344329834,0.6749956387090045,392.2181396484375
log1p_target,1.0,98388,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,967.5563354492188,2423.152587890625,0.16871339082717896,0.6461327604762057,267.3443603515625,1239.3057861328125,2992.107666015625,0.15804803371429443,0.6823529860803509,363.4823913574219
log1p_target,1.0,98388,133470,152488,baseline,mlp_regressor,,321,,,1053.6614990234375,4181.45654296875,-1.4753949642181396,0.624721701760106,265.06707763671875,1311.2799072265625,5419.5048828125,-1.762181043624878,0.675652688514521,341.5103759765625
log1p_target,1.0,98388,133470,152488,baseline,xgboost,,321,,,846.7736206054688,2298.3212890625,0.25215643644332886,0.7093854983940358,215.56988525390625,1051.4869384765625,2820.9443359375,0.25162041187286377,0.7508015490177021,272.5326843261719
log1p_target,1.0,98388,133470,152488,baseline,lightgbm,,321,,,843.0891689804431,2289.3234368817707,0.258000578923653,0.7135704265424773,214.5053582147446,1046.3601766668482,2803.621631959048,0.2607833730737439,0.7546129374492929,270.197480976332
log1p_target,1.0,98388,133470,152488,baseline,catboost,,321,,,871.5614944942175,2351.4888215554606,0.21715623892823788,0.6981276670932862,225.05653862828314,1091.7573195401633,2896.653319661747,0.21091104679386707,0.7402048186207756,286.3680769230435
log1p_target,0.5,49194,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,979.4136962890625,2518.22998046875,0.1021990180015564,0.6272114671422266,277.615234375,1275.1461181640625,3150.300537109375,0.0666663646697998,0.6418251531201798,400.7359619140625
log1p_target,0.5,49194,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,981.7761840820312,2452.716064453125,0.14830553531646729,0.6336900116266648,303.59161376953125,1268.136962890625,3037.65283203125,0.13222086429595947,0.6537504561271452,434.5244140625
log1p_target,0.5,49194,133470,152488,baseline,mlp_regressor,,321,,,1051.354248046875,2941.588623046875,-0.22504818439483643,0.6044658625516693,270.1014709472656,239833055232.0,93654119088128.0,-8.248722005060181e+20,0.6513951848223852,346.0716552734375
log1p_target,0.5,49194,133470,152488,baseline,xgboost,,321,,,852.247314453125,2320.0478515625,0.2379506230354309,0.7042878994390878,216.9801788330078,1056.918212890625,2843.894287109375,0.23939388990402222,0.7467975759809631,269.60015869140625
log1p_target,0.5,49194,133470,152488,baseline,lightgbm,,321,,,849.743720336722,2308.1836876535285,0.24572451527302475,0.704407190399868,217.34463246317046,1056.2402911444187,2836.1425052487016,0.2435346852106398,0.7458011431259368,273.32406485350464
log1p_target,0.5,49194,133470,152488,baseline,catboost,,321,,,880.2573273788474,2371.524879961001,0.20375883189291744,0.692084562422632,227.71082208947186,1103.5483112659758,2918.227515719328,0.19911304758921833,0.7337357959215418,292.0207518101429
