iter	Passed	Remaining
1028	5436	10413
1029	5441	10407
1030	5447	10402
1031	5452	10397
1032	5457	10391
1033	5462	10385
1034	5467	10380
1035	5472	10375
1036	5478	10370
1037	5483	10364
1038	5488	10358
1039	5493	10353
1040	5499	10348
1041	5504	10342
1042	5509	10337
1043	5514	10332
1044	5520	10327
1045	5525	10321
1046	5530	10316
1047	5535	10311
1048	5540	10305
1049	5546	10300
1050	5552	10296
1051	5557	10290
1052	5562	10285
1053	5568	10280
1054	5573	10274
1055	5578	10269
1056	5583	10263
1057	5589	10259
1058	5595	10255
1059	5600	10249
1060	5605	10244
1061	5610	10238
1062	5615	10232
1063	5620	10227
1064	5625	10221
1065	5630	10215
1066	5636	10210
1067	5641	10205
1068	5646	10200
1069	5652	10194
1070	5657	10189
1071	5662	10183
1072	5667	10178
1073	5672	10172
1074	5677	10167
1075	5683	10162
1076	5687	10155
1077	5692	10150
1078	5697	10144
1079	5703	10138
1080	5708	10133
1081	5713	10128
1082	5718	10122
1083	5723	10117
1084	5729	10111
1085	5734	10106
1086	5739	10101
1087	5744	10095
1088	5749	10090
1089	5755	10084
1090	5760	10079
1091	5765	10074
1092	5771	10069
1093	5776	10063
1094	5781	10057
1095	5786	10052
1096	5791	10046
1097	5796	10041
1098	5801	10035
1099	5806	10030
1100	5812	10025
1101	5817	10020
1102	5823	10015
1103	5828	10009
1104	5833	10003
1105	5838	9998
1106	5843	9992
1107	5848	9987
1108	5854	9981
1109	5859	9976
1110	5864	9970
1111	5869	9965
1112	5874	9959
1113	5879	9954
1114	5885	9949
1115	5890	9944
1116	5895	9938
1117	5900	9933
1118	5906	9927
1119	5911	9922
1120	5915	9916
1121	5921	9910
1122	5926	9905
1123	5932	9900
1124	5937	9895
1125	5942	9889
1126	5947	9884
1127	5952	9878
1128	5957	9872
1129	5962	9867
1130	5968	9862
1131	5972	9856
1132	5978	9850
1133	5983	9845
1134	5988	9839
1135	5993	9834
1136	5998	9828
1137	6003	9823
1138	6008	9817
1139	6013	9811
1140	6018	9806
1141	6023	9800
1142	6028	9795
1143	6034	9789
1144	6039	9784
1145	6045	9779
1146	6050	9774
1147	6055	9768
1148	6060	9763
1149	6066	9758
1150	6071	9752
1151	6076	9747
1152	6081	9741
1153	6086	9736
1154	6091	9730
1155	6096	9725
1156	6101	9719
1157	6106	9713
1158	6111	9707
1159	6117	9702
1160	6122	9697
1161	6126	9691
1162	6132	9685
1163	6136	9679
1164	6141	9674
1165	6146	9668
1166	6152	9662
1167	6157	9657
1168	6162	9652
1169	6168	9647
1170	6173	9641
1171	6178	9636
1172	6183	9631
1173	6189	9626
1174	6194	9621
1175	6199	9615
1176	6204	9610
1177	6210	9604
1178	6215	9599
1179	6220	9594
1180	6225	9589
1181	6231	9584
1182	6236	9578
1183	6241	9573
1184	6246	9567
1185	6251	9562
1186	6256	9556
1187	6262	9551
1188	6267	9546
1189	6273	9541
1190	6278	9536
1191	6283	9530
1192	6288	9525
1193	6294	9520
1194	6299	9514
1195	6304	9509
1196	6309	9503
1197	6314	9498
1198	6319	9492
1199	6324	9486
1200	6330	9481
1201	6335	9476
1202	6340	9471
1203	6346	9466
1204	6351	9461
1205	6356	9455
1206	6361	9450
1207	6367	9445
1208	6372	9439
1209	6377	9433
1210	6382	9428
1211	6387	9422
1212	6392	9417
1213	6397	9411
1214	6402	9406
1215	6407	9400
1216	6412	9395
1217	6418	9390
1218	6423	9384
1219	6428	9378
1220	6433	9373
1221	6438	9367
1222	6442	9361
1223	6448	9356
1224	6453	9350
1225	6458	9345
1226	6463	9339
1227	6468	9334
1228	6473	9329
1229	6479	9323
1230	6484	9318
1231	6489	9313
1232	6495	9308
1233	6500	9302
1234	6505	9297
1235	6511	9293
1236	6516	9287
1237	6521	9282
1238	6527	9276
1239	6532	9271
1240	6537	9266
1241	6542	9260
1242	6547	9255
1243	6553	9250
1244	6558	9244
1245	6563	9239
1246	6568	9233
1247	6573	9228
1248	6579	9223
1249	6584	9217
1250	6589	9212
1251	6594	9207
1252	6599	9201
1253	6605	9196
1254	6610	9191
1255	6615	9185
1256	6620	9180
1257	6625	9175
1258	6630	9169
1259	6635	9163
1260	6641	9158
1261	6646	9153
1262	6651	9148
1263	6656	9142
1264	6663	9139
1265	6669	9134
1266	6674	9129
1267	6679	9124
1268	6684	9118
1269	6690	9113
1270	6695	9108
1271	6701	9103
1272	6706	9097
1273	6710	9091
1274	6716	9086
1275	6721	9081
1276	6726	9076
1277	6731	9070
1278	6737	9065
1279	6741	9059
1280	6747	9054
1281	6752	9049
1282	6757	9044
1283	6764	9039
1284	6769	9035
1285	6774	9029
1286	6780	9024
1287	6785	9019
1288	6790	9013
1289	6795	9008
1290	6801	9003
